# MAUVE passband
# Derived from the MAUVE effective-area curve (Wavelength [nm], Effective area [cm2])
#   supplied by the user; normalised to unit peak. Only the spectral shape enters the
#   flux ratio, so the absolute collecting area cancels.
# Created: 2026-07-28
# provenance: official
# unit: nm
# transmission: fraction
424.2261 0.913039
424.5106 0.910869
424.7951 0.908702
425.0796 0.906538
425.3641 0.904376
425.6485 0.902217
425.9329 0.900061
426.2173 0.897913
426.5017 0.895769
426.7861 0.893628
427.0704 0.891489
427.3547 0.889354
427.6390 0.887220
427.9233 0.885089
428.2075 0.883332
428.4918 0.882529
428.7760 0.881726
429.0602 0.880923
429.3443 0.880121
429.6285 0.879319
429.9126 0.878517
430.1967 0.877710
430.4808 0.876901
430.7648 0.876091
431.0489 0.875282
431.3329 0.874473
431.6169 0.873665
431.9009 0.872856
432.1848 0.872053
432.4688 0.871133
432.7527 0.863950
433.0366 0.863985
433.3204 0.864019
433.6043 0.864052
433.8881 0.864082
434.1719 0.864108
434.4557 0.864130
434.7395 0.864150
435.0232 0.864169
435.3069 0.864185
435.5906 0.864200
435.8743 0.864214
436.1580 0.864242
436.4416 0.864329
436.7252 0.864505
437.0088 0.864680
437.2924 0.864853
437.5759 0.864327
437.8595 0.865313
438.1430 0.866295
438.4265 0.867271
438.7099 0.868244
438.9934 0.869215
439.2768 0.870183
439.5602 0.871147
439.8436 0.872110
440.1269 0.873067
440.4103 0.874021
440.6936 0.874867
440.9769 0.875676
441.2601 0.876480
441.5434 0.877282
441.8266 0.878080
442.1098 0.878882
442.3930 0.879690
442.6762 0.880494
442.9593 0.881295
443.2425 0.882093
443.5256 0.882888
443.8086 0.883679
444.0917 0.884469
444.3747 0.885261
444.6577 0.886025
444.9407 0.886640
445.2237 0.887250
445.5067 0.887857
445.7896 0.888459
446.0725 0.889051
446.3554 0.889621
446.6382 0.890188
446.9211 0.890751
447.2039 0.891309
447.4867 0.891864
447.7695 0.892415
448.0522 0.892966
448.3350 0.893525
448.6177 0.894080
448.9004 0.894631
449.1830 0.891308
449.4657 0.891729
449.7483 0.892146
450.0309 0.892558
450.3135 0.892967
450.5961 0.893373
450.8786 0.893776
451.1611 0.894174
451.4436 0.894569
451.7261 0.895322
452.0085 0.896729
452.2910 0.898123
452.5734 0.899509
452.8558 0.900886
453.1381 0.902254
453.4205 0.903615
453.7028 0.897308
453.9851 0.898757
454.2674 0.900180
454.5496 0.901148
454.8319 0.902104
455.1141 0.903048
455.3963 0.903981
455.6784 0.904903
455.9606 0.898213
456.2427 0.899143
456.5248 0.900063
456.8069 0.900972
457.0890 0.901869
457.3710 0.902755
457.6530 0.903629
457.9350 0.904492
458.2170 0.898675
458.4989 0.899207
458.7809 0.900029
459.0628 0.900845
459.3446 0.901653
459.6265 0.902454
459.9083 0.903248
460.1902 0.904031
460.4720 0.904806
460.7537 0.905573
461.0355 0.901379
461.3172 0.902011
461.5989 0.902433
461.8806 0.902846
462.1623 0.903251
462.4439 0.903649
462.7256 0.904037
463.0072 0.903933
463.2887 0.903866
463.5703 0.904159
463.8518 0.904446
464.1333 0.904791
464.4148 0.905143
464.6963 0.905490
464.9777 0.905831
465.2592 0.897186
465.5406 0.898269
465.8219 0.899345
466.1033 0.900413
466.3846 0.901474
466.6659 0.902527
466.9472 0.903572
467.2285 0.904609
467.5097 0.905638
467.7910 0.901793
468.0722 0.902625
468.3534 0.903462
