teff,logg,mh,alpha,node
24000,4.25,-0.699,0,653
24000,4.25,-0.301,0,654
24000,4.25,0,0,656
24000,4.25,0.301,0,657
24000,4.5,-1,0,658
24000,4.5,-0.699,0,659
24000,4.5,-0.301,0,660
24000,4.5,0,0,662
24000,4.5,0.301,0,663
24000,4.75,-1,0,664
24000,4.75,-0.699,0,665
24000,4.75,-0.301,0,666
24000,4.75,0,0,668
24000,4.75,0.301,0,669
25000,2.75,-1,0,670
25000,2.75,-0.699,0,671
25000,2.75,-0.301,0,672
25000,2.75,0,0,674
25000,2.75,0.301,0,675
25000,3,-1,0,676
25000,3,-0.699,0,677
25000,3,-0.301,0,678
25000,3,0,0,680
25000,3,0.301,0,681
25000,3.25,-1,0,682
25000,3.25,-0.699,0,683
25000,3.25,-0.301,0,684
25000,3.25,0,0,686
25000,3.25,0.301,0,687
25000,3.5,-1,0,688
25000,3.5,-0.699,0,689
25000,3.5,-0.301,0,690
25000,3.5,0,0,692
25000,3.5,0.301,0,693
25000,3.75,-1,0,694
25000,3.75,-0.699,0,695
25000,3.75,-0.301,0,696
25000,3.75,0,0,698
25000,3.75,0.301,0,699
25000,4,-1,0,700
25000,4,-0.699,0,701
25000,4,-0.301,0,702
25000,4,0,0,704
25000,4,0.301,0,705
25000,4.25,-1,0,706
25000,4.25,-0.699,0,707
25000,4.25,-0.301,0,708
25000,4.25,0,0,710
25000,4.25,0.301,0,711
25000,4.5,-1,0,712
25000,4.5,-0.699,0,713
25000,4.5,-0.301,0,714
25000,4.5,0,0,716
25000,4.5,0.301,0,717
25000,4.75,-1,0,718
25000,4.75,-0.699,0,719
25000,4.75,-0.301,0,720
25000,4.75,0,0,722
25000,4.75,0.301,0,723
26000,2.75,-1,0,724
26000,2.75,-0.699,0,725
26000,2.75,-0.301,0,726
26000,2.75,0,0,728
26000,2.75,0.301,0,729
26000,3,-1,0,730
26000,3,-0.699,0,731
26000,3,-0.301,0,732
26000,3,0,0,734
26000,3,0.301,0,735
26000,3.25,-1,0,736
26000,3.25,-0.699,0,737
26000,3.25,-0.301,0,738
26000,3.25,0,0,740
26000,3.25,0.301,0,741
26000,3.5,-1,0,742
26000,3.5,-0.699,0,743
26000,3.5,-0.301,0,744
26000,3.5,0,0,746
26000,3.5,0.301,0,747
26000,3.75,-1,0,748
26000,3.75,-0.699,0,749
26000,3.75,-0.301,0,750
26000,3.75,0,0,752
26000,3.75,0.301,0,753
26000,4,-1,0,754
26000,4,-0.699,0,755
26000,4,-0.301,0,756
26000,4,0,0,758
26000,4,0.301,0,759
26000,4.25,-1,0,760
26000,4.25,-0.699,0,761
26000,4.25,-0.301,0,762
26000,4.25,0,0,764
26000,4.25,0.301,0,765
26000,4.5,-1,0,766
26000,4.5,-0.699,0,767
26000,4.5,-0.301,0,768
26000,4.5,0,0,770
26000,4.5,0.301,0,771
26000,4.75,-1,0,772
26000,4.75,-0.699,0,773
26000,4.75,-0.301,0,774
26000,4.75,0,0,776
26000,4.75,0.301,0,777
27000,2.75,-1,0,778
27000,2.75,-0.699,0,779
27000,2.75,-0.301,0,780
27000,2.75,0,0,782
27000,2.75,0.301,0,783
27000,3,-1,0,784
27000,3,-0.699,0,785
27000,3,-0.301,0,786
27000,3,0,0,788
27000,3,0.301,0,789
27000,3.25,-1,0,790
27000,3.25,-0.699,0,791
27000,3.25,-0.301,0,792
27000,3.25,0,0,794
27000,3.25,0.301,0,795
27000,3.5,-1,0,796
27000,3.5,-0.699,0,797
27000,3.5,-0.301,0,798
27000,3.5,0,0,800
27000,3.5,0.301,0,801
27000,3.75,-1,0,802
27000,3.75,-0.699,0,803
27000,3.75,-0.301,0,804
27000,3.75,0,0,806
27000,3.75,0.301,0,807
27000,4,-1,0,808
27000,4,-0.699,0,809
27000,4,-0.301,0,810
27000,4,0,0,812
27000,4,0.301,0,813
